County,Date of Tier Assessment,Ending Date of Week of Data: 02-14-21 to 02-20-21,Final Tier Assignment for 03-02-21,"Previous Tier Assignment, 02-22-21 Assessment",First Date in Current Tier,County Tier Assignment Based on Meeting Accelerated Health Equity Criteria,Number of Weeks in Current Tier,Number of Consecutive Weeks Meeting Criteria for Less Restrictive Tier,Number of Consecutive Weeks Meeting Criteria for More Restrictive Tier,"Tier for Week 02-14-21 to 02-20-21, 03-01-21 Assessment","Test Positivity excl prisons (7-day, 7-day lag)","Case Rate Used for Tier Adjusted Using Linear Adjustment (7-day avg, 7-day lag)","Unadjusted Case Rate per 100,000 excl prisons (7-day avg, 7-day lag)",Linear Adjustment Factor Applied to Case Rate,"Tests per 100,000 excl prisons, with replaced approved county data (7-day avg, 7-day lag)

State Median Testing Rate=346.59",Population^,County Exceeds Minimum Number of Weekly Cases Based on Population and Current Tier,"Health Equity Quartile Test Positivity Excl Prison Cases (7 day, 7 day lag)",HE Quartile (Test Positivity%) Within Threshold for Less Restrictive Tier,Number of Consecutive Weeks of Health Equity Metric Towards Movement to Less Restrictive Tier,Eligible for Accelerated Health Equity Criteria to Move to Less Restrictive Tier,Number of Consecutive Weeks Towards Movement to Less Restrictive Tier with Accelerated Healthy Equity Criteria
San Francisco,03-01-2021,02-20-2021,2,1,03-01-2021,No,0,0,0,3,1.5,3.5,6.6,0.523,677.4,892280,NA,3.5,Yes,0,No,0
San Joaquin,03-01-2021,02-20-2021,1,1,11-16-2020,No,15,0,NA,1,5.0,11.6,10.9,1.063,292.2,782545,NA,6.8,Yes,1,No,0
San Luis Obispo,03-01-2021,02-20-2021,2,1,03-01-2021,No,0,0,0,2,2.7,6.8,12.6,0.546,661.6,278862,NA,3.4,Yes,0,No,0
San Mateo,03-01-2021,02-20-2021,2,2,02-22-2021,No,1,0,0,2,1.7,4.0,8.1,0.500,698.1,778001,NA,3.2,Yes,1,No,0
Santa Barbara,03-01-2021,02-20-2021,1,1,11-16-2020,No,15,0,NA,1,5.1,13.0,15.0,0.870,436.5,456373,NA,8.2,No,0,No,0
Santa Clara,03-01-2021,02-20-2021,2,1,03-01-2021,No,0,0,0,2,2.1,5.8,10.1,0.571,644.0,1967585,NA,4.8,Yes,0,No,0
Santa Cruz,03-01-2021,02-20-2021,1,1,11-16-2020,No,15,1,0,2,2.9,6.5,7.0,0.927,397.3,273999,NA,5.3,Yes,3,No,0
Shasta,03-01-2021,02-20-2021,2,2,02-22-2021,Yes,1,0,0,1,3.9,10.0,9.8,1.021,328.0,177925,NA,2.7,Yes,1,No,0
Sierra*,03-01-2021,02-20-2021,3,3,11-16-2020,NA,15,0,0,2,3.6,4.6,4.6,  ,256.8,3115,No,    - ,NA,NA,NA,NA
Siskiyou,03-01-2021,02-20-2021,1,1,11-16-2020,NA,15,0,NA,1,6.9,9.1,9.1,  ,159.9,43956,NA,    - ,NA,NA,NA,NA
Solano,03-01-2021,02-20-2021,1,1,11-16-2020,No,15,1,NA,1,2.6,7.7,8.2,0.931,394.4,444255,NA,3.7,Yes,3,Yes,1
Sonoma,03-01-2021,02-20-2021,1,1,08-31-2020,No,27,0,NA,1,3.5,10.0,11.4,0.880,429.7,496668,NA,5.5,Yes,3,No,0
Stanislaus,03-01-2021,02-20-2021,1,1,11-16-2020,No,15,0,NA,1,6.3,15.7,15.6,1.002,344.6,562303,NA,7.3,Yes,1,No,0
Sutter,03-01-2021,02-20-2021,1,1,11-16-2020,NA,15,0,NA,1,6.8,13.4,13.4,  ,266.8,105747,NA,    - ,NA,NA,NA,NA
Tehama,03-01-2021,02-20-2021,1,1,10-05-2020,NA,22,0,NA,1,4.7,10.2,10.2,  ,220.1,65885,NA,    - ,NA,NA,NA,NA
Trinity,03-01-2021,02-20-2021,2,2,02-22-2021,NA,1,0,1,1,12.5,6.4,6.4,  ,111.3,13354,No,    - ,NA,NA,NA,NA
Tulare,03-01-2021,02-20-2021,1,1,08-31-2020,No,27,0,NA,1,5.1,11.0,10.8,1.019,329.7,484423,NA,6.3,Yes,1,No,0
Tuolumne,03-01-2021,02-20-2021,1,1,11-16-2020,NA,15,1,0,2,2.1,5.2,5.2,  ,394.0,52351,NA,    - ,NA,NA,NA,NA
Ventura,03-01-2021,02-20-2021,1,1,11-16-2020,No,15,0,NA,1,4.3,10.6,15.8,0.670,575.5,852747,NA,6.6,Yes,1,No,0
Yolo,03-01-2021,02-20-2021,2,2,02-22-2021,No,1,0,0,2,1.2,5.2,10.4,0.500,780.4,223612,NA,4.5,Yes,1,No,0
Yuba,03-01-2021,02-20-2021,1,1,11-16-2020,NA,15,0,NA,1,7.0,12.6,12.6,  ,238.7,79290,NA,    - ,NA,NA,NA,NA
