County,Date of Tier Assessment,Ending Date of Week of Data: 03-14-21 to 03-20-21,Final Tier Assignment for 03-30-21,"Previous Tier Assignment, 03-22-21 Assessment",First Date in Current Tier,County Tier Assignment Based on Meeting Accelerated Health Equity Criteria,Number of Weeks in Current Tier,Number of Consecutive Weeks Meeting Criteria for Less Restrictive Tier,Number of Consecutive Weeks Meeting Criteria for More Restrictive Tier,"Tier for Week 03-14-21 to 03-20-21, 03-29-21 Assessment","Test Positivity excl prisons (7-day, 7-day lag)","Case Rate Used for Tier Adjusted Using Linear Adjustment (7-day avg, 7-day lag)","Unadjusted Case Rate per 100,000 excl prisons (7-day avg, 7-day lag)",Linear Adjustment Factor Applied to Case Rate,"Tests per 100,000 excl prisons, with replaced approved county data (7-day avg, 7-day lag)

State Median Testing Rate=
314.05",Population^,County Exceeds Minimum Number of Weekly Cases Based on Population and Current Tier,"Health Equity Quartile Test Positivity Excl Prison Cases (7 day, 7 day lag)",HE Quartile (Test Positivity%) Within Threshold for Less Restrictive Tier (Non-Accelerated),Number of Consecutive Weeks of Health Equity Metric Towards Movement to Less Restrictive Tier (Non-Accelerated),Eligible for Accelerated Health Equity Criteria to Move to Less Restrictive Tier (If No Progression Via Non-Accelerated Criteria),Number of Consecutive Weeks Towards Movement to Less Restrictive Tier with Accelerated Healthy Equity Criteria
Plumas**,03-29-2021,03-20-2021,3,3,03-08-2021,NA,3,0,0,2,1.8,6.0,6.0,   ,412.1,18997,No,   ,NA,NA,NA,NA
Riverside,03-29-2021,03-20-2021,2,2,03-15-2021,No,2,0,0,2,2.3,4.1,4.1,   ,269.6,2468145,NA,2.4,Yes,2,No,0
Sacramento,03-29-2021,03-20-2021,2,2,03-15-2021,No,2,0,0,2,3.1,7.5,7.6,0.986,322.8,1567975,NA,4.1,Yes,2,No,0
San Benito,03-29-2021,03-20-2021,2,2,03-08-2021,NA,3,0,0,2,2.1,4.5,4.5,   ,301.2,64022,No,   ,NA,NA,NA,NA
San Bernardino,03-29-2021,03-20-2021,2,2,03-08-2021,No,3,1,0,3,2.1,3.8,3.8,   ,290.5,2217398,NA,2.2,Yes,3,No,0
San Diego,03-29-2021,03-20-2021,2,2,03-15-2021,No,2,0,0,2,2.1,4.9,4.9,   ,300.8,3370418,NA,2.7,Yes,2,No,0
San Francisco,03-29-2021,03-20-2021,3,3,03-22-2021,No,1,1,0,3,0.8,1.9,3.5,0.549,597.4,892280,NA,1.4,Yes,1,Yes,1
San Joaquin,03-29-2021,03-20-2021,1,1,11-16-2020,No,19,1,NA,1,4.4,10.2,10.0,1.020,298.5,782545,NA,4.8,Yes,5,Yes,1
San Luis Obispo,03-29-2021,03-20-2021,2,2,03-01-2021,No,4,0,0,2,2.4,6.9,8.4,0.822,426.1,278862,NA,3.7,Yes,4,No,0
San Mateo,03-29-2021,03-20-2021,3,3,03-15-2021,No,2,1,0,3,0.9,2.0,4.0,0.500,745.8,778001,NA,1.4,Yes,2,Yes,1
Santa Barbara,03-29-2021,03-20-2021,2,2,03-15-2021,No,2,0,0,2,2.2,5.3,5.9,0.896,379.1,456373,NA,4.1,Yes,2,No,0
Santa Clara,03-29-2021,03-20-2021,3,3,03-22-2021,No,1,0,0,3,1.1,2.4,4.9,0.500,632.0,1967585,NA,2.4,No,0,No,0
Santa Cruz,03-29-2021,03-20-2021,3,2,03-29-2021,No,0,0,0,3,0.8,2.0,2.9,0.691,508.0,273999,NA,2.0,Yes,0,No,0
Shasta,03-29-2021,03-20-2021,2,2,02-22-2021,Yes,5,0,0,2,1.8,5.1,5.1,0.992,318.8,177925,NA,1.9,Yes,5,No,0
Sierra***,03-29-2021,03-20-2021,4,4,03-15-2021,NA,2,0,0,3,2.1,0.0,0.0,   ,220.1,3115,No,   ,NA,NA,NA,NA
Siskiyou,03-29-2021,03-20-2021,2,2,03-08-2021,NA,3,1,0,3,2.4,3.9,3.9,   ,177.5,43956,No,   ,NA,NA,NA,NA
Solano,03-29-2021,03-20-2021,2,2,03-08-2021,No,3,0,0,2,1.9,5.4,5.5,0.978,327.7,444255,NA,2.3,Yes,3,No,0
Sonoma,03-29-2021,03-20-2021,2,2,03-08-2021,No,3,1,0,3,1.6,3.6,4.3,0.839,415.1,496668,NA,2.3,Yes,3,No,0
Stanislaus,03-29-2021,03-20-2021,2,2,03-22-2021,Yes,1,0,0,1,4.6,11.2,11.2,1.007,308.8,562303,NA,5.0,Yes,1,No,0
Sutter,03-29-2021,03-20-2021,2,2,03-15-2021,NA,2,0,0,2,3.3,7.8,7.8,   ,238.3,105747,Yes,   ,NA,NA,NA,NA
Tehama,03-29-2021,03-20-2021,2,2,03-15-2021,NA,2,0,0,2,5.8,9.3,9.3,   ,194.7,65885,Yes,   ,NA,NA,NA,NA
Trinity,03-29-2021,03-20-2021,3,3,03-22-2021,NA,1,0,0,3,4.0,1.1,1.1,   ,53.5,13354,No,   ,NA,NA,NA,NA
Tulare,03-29-2021,03-20-2021,2,2,03-15-2021,No,2,0,0,2,2.3,4.8,4.8,   ,289.5,484423,NA,3.5,Yes,2,No,0
Tuolumne,03-29-2021,03-20-2021,3,2,03-29-2021,NA,0,0,0,3,1.6,3.3,3.3,   ,326.1,52351,No,   ,NA,NA,NA,NA
Ventura,03-29-2021,03-20-2021,2,2,03-15-2021,No,2,1,0,3,1.8,3.9,5.5,0.705,499.3,852747,NA,3.5,Yes,2,No,0
Yolo,03-29-2021,03-20-2021,3,3,03-22-2021,No,1,0,0,3,0.5,2.8,5.6,0.500,1229.4,223612,NA,1.9,Yes,1,No,0
Yuba,03-29-2021,03-20-2021,2,1,03-29-2021,NA,0,0,0,2,3.4,4.3,4.3,   ,209.5,79290,NA,   ,NA,NA,NA,NA
