County,Date of Tier Assessment,Ending Date of Week of Data: 10-11-20 to 10-17-20,"Updated Tier Assignment, 10-26-20 Assessment","Previous Tier Assignment, 10-19-20 Assessment",First Date in Current Tier,County Tier Assignment Based on Meeting Accelerated Health Equity Criteria,School Reopening Status as of 10-26-20,Number of Weeks in Current Tier,Number of Consecutive Weeks Meeting Criteria for Less Restrictive Tier,Number of Consecutive Weeks Meeting Criteria for More Restrictive Tier,"Tier for Week 10-11-20 to 10-17-20, 10-26-20 Assessment","Test Positivity excl prisons (7-day, 7-day lag)","Case Rate Used for Tier Adjusted Using Linear Adjustment (7-day avg, 7-day lag)","Unadjusted Case Rate per 100,000 excl prisons (7-day avg, 7-day lag)",Linear Adjustment Factor Applied to Case Rate (>State Avg + Pop>100K or <State Avg + TestPos>3.5 + Pop>100K),"Tests per 100,000 excl prisons, with replaced approved county data (7-day avg, 7-day lag)

State Median Testing Rate=239.21",Population,County Exceeds Minimum Number of Weekly Cases Based on Population and Current Tier,"Health Equity Quartile Test Positivity Excl Prison Cases (7 day, 7 day lag)",HE Quartile (Test Positivity%) Within Threshold for Less Restrictive Tier,Number of Consecutive Weeks of Health Equity Metric Towards Movement to Less Restrictive Tier,Eligible for Accelerated Health Equity Criteria to Move to Less Restrictive Tier,Number of Consecutive Weeks Towards Movement to Less Restrictive Tier with Accelerated Healthy Equity Criteria,Notes About County's Tier Status for 10-26-20 Assessment
Modoc**,10-26-2020,10-17-2020,4,4,08-31-2020,NA,May Reopen,8,NA,0,3,0.0,1.5,1.5,   ,92.0,9475,No,,NA,NA,NA,NA,"Small County: Held harmless, did not exceed case number threshold."
Mono,10-26-2020,10-17-2020,3,3,08-31-2020,NA,May Reopen,8,1,0,3,0.5,2.0,2.0,   ,215.9,13961,No,,NA,NA,NA,NA,
Monterey,10-26-2020,10-17-2020,1,1,08-31-2020,No,May Not Reopen,8,0,NA,1,4.5,8.5,9.2,0.922,286.1,448732,NA,6.9,Yes,5,No,0,
Napa^^,10-26-2020,10-17-2020,3,3,10-19-2020,No,May Reopen,1,0,1,2,1.8,4.3,6.0,0.709,413.2,139652,NA,4.1,No,0,No,0,
Nevada,10-26-2020,10-17-2020,3,3,09-21-2020,NA,May Reopen,5,0,0,3,1.3,2.7,2.7,   ,249.9,98710,No,,NA,NA,NA,NA,
Orange,10-26-2020,10-17-2020,2,2,09-07-2020,No,May Reopen,7,0,0,2,3.2,5.1,5.1,0.997,240.9,3228519,NA,6.0,No,0,No,0,
Placer^^,10-26-2020,10-17-2020,3,3,10-12-2020,No,May Reopen,2,0,1,2,2.5,5.0,5.0,   ,237.2,400434,NA,2.7,No,0,No,0,
Plumas^^,10-26-2020,10-17-2020,4,4,10-05-2020,NA,May Reopen,3,NA,1,2,2.0,4.5,4.5,   ,224.1,18997,No,,NA,NA,NA,NA,
Riverside,10-26-2020,10-17-2020,1,1,10-19-2020,No,May Reopen,1,0,NA,1,5.6,10.1,9.8,1.024,224.9,2468145,NA,7.4,Yes,1,No,0,
Sacramento,10-26-2020,10-17-2020,2,2,09-28-2020,No,May Reopen,4,0,0,2,2.8,5.7,5.9,0.969,257.9,1567975,NA,5.0,Yes,5,No,0,
San Benito,10-26-2020,10-17-2020,2,2,10-12-2020,NA,May Reopen,2,0,0,2,1.9,4.7,4.7,   ,229.2,64022,No,,NA,NA,NA,NA,
San Bernardino,10-26-2020,10-17-2020,1,1,08-31-2020,No,May Not Reopen,8,0,NA,1,6.6,11.9,12.2,0.975,254.3,2217398,NA,9.1,No,0,No,0,
San Diego,10-26-2020,10-17-2020,2,2,08-31-2020,No,May Reopen,8,0,0,2,3.5,6.5,7.4,0.883,309.3,3370418,NA,5.1,Yes,1,No,0,
San Francisco***,10-26-2020,10-17-2020,4,4,10-19-2020,Yes,May Reopen,1,NA,0,3,0.8,1.7,2.8,0.600,572.6,892280,NA,1.9,NA,NA,NA,NA,Accelerated Health Equity: Remains in tier moved to via accelerated HE criteria.
San Joaquin,10-26-2020,10-17-2020,2,2,09-28-2020,No,May Reopen,4,0,0,2,3.7,6.3,6.0,1.058,204.8,782545,NA,5.0,Yes,2,No,0,
San Luis Obispo,10-26-2020,10-17-2020,2,2,09-21-2020,No,May Reopen,5,0,0,2,2.0,4.0,6.0,0.673,434.9,278862,NA,3.0,Yes,5,No,0,
San Mateo*,10-26-2020,10-17-2020,3,2,10-26-2020,No,May Reopen,0,0,0,3,1.6,3.0,4.4,0.677,432.2,778001,NA,3.7,Yes,0,No,0,
Santa Barbara,10-26-2020,10-17-2020,2,2,09-28-2020,No,May Reopen,4,0,0,2,2.0,4.4,4.9,0.898,300.4,456373,NA,4.4,Yes,3,No,0,
Santa Clara,10-26-2020,10-17-2020,3,3,10-12-2020,No,May Reopen,2,0,0,3,1.5,3.4,5.1,0.674,433.9,1967585,NA,3.5,No,0,No,0,
Santa Cruz,10-26-2020,10-17-2020,3,2,10-26-2020,No,May Reopen,0,0,0,3,2.1,3.5,4.2,0.839,335.7,273999,NA,4.1,Yes,0,No,0,
Shasta^^,10-26-2020,10-17-2020,2,2,10-05-2020,No,May Reopen,3,0,3,1,3.3,7.5,8.6,0.868,318.0,177925,NA,3.1,Yes,0,No,0,"County being held harmless in tier 2 (supposed to move to 1) for a 2nd week, under observation."
Sierra,10-26-2020,10-17-2020,4,4,10-12-2020,NA,May Reopen,2,NA,0,4,0.0,0.0,0.0,   ,201.8,3115,No,,NA,NA,NA,NA,
Siskiyou,10-26-2020,10-17-2020,4,4,10-05-2020,NA,May Reopen,3,NA,0,4,0.4,0.7,0.7,   ,183.0,43956,No,,NA,NA,NA,NA,
Solano^^,10-26-2020,10-17-2020,2,2,09-21-2020,No,May Reopen,5,0,1,1,2.9,7.1,7.9,0.890,305.2,444255,NA,3.4,Yes,5,No,0,
Sonoma,10-26-2020,10-17-2020,1,1,08-31-2020,No,May Not Reopen,8,0,NA,1,5.2,10.2,11.0,0.932,279.6,496668,NA,8.9,No,0,No,0,
Stanislaus,10-26-2020,10-17-2020,2,2,10-05-2020,No,May Reopen,3,0,0,2,3.9,6.9,6.5,1.055,206.2,562303,NA,4.0,Yes,3,No,0,"Approved for Retrospective Adjudication, previous weeks' tier status revised in 10-26-20 assessment."
Sutter,10-26-2020,10-17-2020,2,2,10-12-2020,NA,May Reopen,2,0,0,2,2.7,4.6,4.6,   ,216.8,105747,No,,NA,NA,NA,NA,
Tehama,10-26-2020,10-17-2020,1,1,10-05-2020,NA,May Not Reopen,3,0,NA,1,8.5,20.2,20.2,   ,246.3,65885,NA,,NA,NA,NA,NA,
Trinity^^,10-26-2020,10-17-2020,4,4,10-05-2020,NA,May Reopen,3,NA,1,2,4.5,5.3,5.3,   ,117.7,13354,No,,NA,NA,NA,NA,
Tulare,10-26-2020,10-17-2020,1,1,08-31-2020,No,May Not Reopen,8,0,NA,1,4.6,8.3,8.3,1.001,238.6,484423,NA,6.6,Yes,5,No,0,
Tuolumne,10-26-2020,10-17-2020,3,3,08-31-2020,NA,May Reopen,8,0,0,3,2.1,3.3,3.3,   ,317.1,52351,No,,NA,NA,NA,NA,
Ventura,10-26-2020,10-17-2020,2,2,10-05-2020,No,May Reopen,3,0,0,2,2.6,4.9,5.2,0.929,281.7,852747,NA,2.9,Yes,3,No,0,
Yolo,10-26-2020,10-17-2020,2,2,09-28-2020,No,May Reopen,4,0,0,2,2.1,5.4,5.7,0.931,280.5,223612,NA,3.7,Yes,5,No,0,
Yuba**,10-26-2020,10-17-2020,2,2,10-05-2020,NA,May Reopen,3,0,0,1,4.2,7.4,7.4,   ,210.6,79290,No,,NA,NA,NA,NA,"Small County: Held harmless, did not exceed case number threshold."
