County,Date of Tier Assessment,Ending Date of Week of Data: 10-4-20 to 10-10-20,"Updated Tier Assignment, 10-19-20 Assessment","Previous Tier Assignment, 10-12-20 Assessment",First Date in Current Tier,County Tier Assignment Based on Meeting Accelerated Health Equity Criteria,School Reopening Status as of 10-19-20,Number of Weeks in Current Tier,Number of Consecutive Weeks Meeting Criteria for Less Restrictive Tier,Number of Consecutive Weeks Meeting Criteria for More Restrictive Tier,"Tier for Week 10-4-20 to 10-10-20, 10-19-20 Assessment","Test Positivity excl prisons (7-day, 7-day lag)","Case Rate Used for Tier Adjusted Using Linear Adjustment (7-day avg, 7-day lag)","Unadjusted Case Rate per 100,000 excl prisons (7-day avg, 7-day lag)",Linear Adjustment Factor Applied to Case Rate (>State Avg + Pop>100K or <State Avg + TestPos>3.5 + Pop>100K),"Tests per 100,000 excl prisons, with replaced approved county data (7-day avg, 7-day lag)

State Median Testing Rate=239.21",Population^,County Exceeds Minimum Number of Weekly Cases Based on Population and Current Tier,"Health Equity Quartile Test Positivity Excl Prison Cases (7 day, 7 day lag)",HE Quartile (Test Positivity%) Within Threshold for Less Restrictive Tier,Number of Consecutive Weeks of Health Equity Metric Towards Movement to Less Restrictive Tier,Eligible for Accelerated Health Equity Criteria to Move to Less Restrictive Tier,Number of Consecutive Weeks Towards Movement to Less Restrictive Tier with Accelerated Healthy Equity Criteria,Notes About County's Tier Status for 10-19-20 Assessment
Mariposa,10/19/2020,10/10/2020,4,4,9/21/2020,NA,May Reopen,4,NA,0,4,0,0,0,      ,279.4,17795,No,      ,NA,NA,NA,NA,
Mendocino,10/19/2020,10/10/2020,1,1,8/31/2020,NA,May Not Reopen,7,1,0,2,2.2,4.5,4.5,      ,250.5,88439,NA,      ,NA,NA,NA,NA,
Merced^^,10/19/2020,10/10/2020,2,2,10/5/2020,No,May Reopen,2,0,1,1,4.1,7.4,7.1,1.042,214,287420,NA,3.9,Yes,2,No,0,
Modoc,10/19/2020,10/10/2020,4,4,8/31/2020,NA,May Reopen,7,NA,0,4,0,0,0,      ,73.9,9475,No,      ,NA,NA,NA,NA,
Mono,10/19/2020,10/10/2020,3,3,8/31/2020,NA,May Reopen,7,0,0,3,0.5,1,1,      ,212.8,13961,No,      ,NA,NA,NA,NA,
Monterey,10/19/2020,10/10/2020,1,1,8/31/2020,No,May Not Reopen,7,0,NA,1,4,8.3,9.2,0.908,294.3,448732,NA,6.9,Yes,4,No,0,
Napa,10/19/2020,10/10/2020,3,2,10/19/2020,No,May Reopen,0,0,0,3,1.7,3.6,4.4,0.828,342.2,139652,NA,2.1,Yes,0,No,0,
Nevada,10/19/2020,10/10/2020,3,3,9/21/2020,NA,May Reopen,4,0,0,3,1.1,2.5,2.5,      ,281.2,98710,No,      ,NA,NA,NA,NA,
Orange,10/19/2020,10/10/2020,2,2,9/7/2020,No,May Reopen,6,0,0,2,3.2,4.6,4.6,      ,218.1,3228519,NA,5.6,No,0,No,0,
Placer,10/19/2020,10/10/2020,3,3,10/12/2020,No,May Reopen,1,0,0,3,2.1,3.7,3.7,      ,232.7,400434,NA,2.4,No,0,No,0,
Plumas,10/19/2020,10/10/2020,4,4,10/5/2020,NA,May Reopen,2,NA,0,4,0,0.8,0.8,      ,184.2,18997,No,      ,NA,NA,NA,NA,
Riverside,10/19/2020,10/10/2020,1,2,10/19/2020,No,May Reopen,0,0,NA,1,5.2,9.1,8.4,1.073,195.5,2468145,NA,6.9,No,0,No,0,
Sacramento,10/19/2020,10/10/2020,2,2,9/28/2020,No,May Reopen,3,0,0,2,2.5,4.4,4.4,0.993,243.5,1567975,NA,3.5,Yes,4,No,0,
San Benito,10/19/2020,10/10/2020,2,2,10/12/2020,NA,May Not Reopen,1,1,0,3,1.9,3.1,3.1,      ,238.1,64022,No,      ,NA,NA,NA,NA,
San Bernardino,10/19/2020,10/10/2020,1,1,8/31/2020,No,May Not Reopen,7,0,NA,1,6.2,10.9,10.8,1.009,233.6,2217398,NA,8.5,No,0,No,0,
San Diego,10/19/2020,10/10/2020,2,2,8/31/2020,No,May Reopen,7,0,0,2,3.3,7,7.8,0.902,298.1,3370418,NA,5.5,No,0,No,0,
San Francisco***,10/19/2020,10/10/2020,4,3,10/19/2020,Yes,May Reopen,0,NA,0,3,0.8,1.5,2.5,0.6,596,892280,NA,1.5,Yes,NA,Yes,NA,Accelerated Health Equity: Meets criteria for accelerated movement to a less restrictive tier.
San Joaquin,10/19/2020,10/10/2020,2,2,9/28/2020,No,May Reopen,3,0,0,2,3.3,4.9,4.9,      ,204.7,782545,NA,4.6,Yes,1,No,0,
San Luis Obispo,10/19/2020,10/10/2020,2,2,9/21/2020,No,May Reopen,4,0,0,2,2,5.1,7.5,0.675,433.3,278862,NA,4,Yes,4,No,0,
San Mateo*,10/19/2020,10/10/2020,2,2,9/21/2020,No,May Reopen,4,1,0,3,1.8,3.5,4.7,0.741,393.9,778001,NA,3.3,Yes,2,No,0,
Santa Barbara,10/19/2020,10/10/2020,2,2,9/28/2020,No,May Reopen,3,0,0,2,1.9,4.3,4.8,0.905,296.3,456373,NA,3.2,Yes,2,No,0,
Santa Clara,10/19/2020,10/10/2020,3,3,10/12/2020,No,May Reopen,1,0,0,3,1.5,3.5,4.7,0.739,395.3,1967585,NA,3.3,No,0,No,0,
Santa Cruz,10/19/2020,10/10/2020,2,2,9/7/2020,No,May Reopen,6,1,0,3,1.6,3.2,3.6,0.893,302.9,273999,NA,4.4,Yes,3,No,0,
Shasta,10/19/2020,10/10/2020,1,2,10/19/2020,No,May Not Reopen,0,0,NA,1,5.8,15.5,22.9,0.676,432.7,177925,NA,2.9,Yes,0,No,0,
Sierra,10/19/2020,10/10/2020,4,4,10/12/2020,NA,May Reopen,1,NA,0,4,0,0,0,      ,220.1,3115,No,      ,NA,NA,NA,NA,
Siskiyou,10/19/2020,10/10/2020,4,4,10/5/2020,NA,May Reopen,2,NA,0,4,0.6,0.7,0.7,      ,162.8,43956,No,      ,NA,NA,NA,NA,
Solano,10/19/2020,10/10/2020,2,2,9/21/2020,No,May Reopen,4,0,0,2,3,6.4,6.9,0.924,284.7,444255,NA,4.1,Yes,4,No,0,
Sonoma,10/19/2020,10/10/2020,1,1,8/31/2020,No,May Not Reopen,7,0,NA,1,5.1,11.9,13.1,0.906,295.1,496668,NA,7.5,Yes,2,No,0,
Stanislaus*,10/19/2020,10/10/2020,2,2,10/12/2020,No,May Not Reopen,1,0,0,2,4.3,6,5.6,1.07,197.4,562303,NA,4.7,Yes,1,No,0,
Sutter,10/19/2020,10/10/2020,2,2,10/12/2020,NA,May Not Reopen,1,1,0,3,1.9,2.7,2.7,      ,216.1,105747,No,      ,NA,NA,NA,NA,
Tehama,10/19/2020,10/10/2020,1,1,10/5/2020,NA,May Not Reopen,2,0,NA,1,5.2,11.7,11.7,      ,239.6,65885,NA,      ,NA,NA,NA,NA,
Trinity**,10/19/2020,10/10/2020,4,4,10/5/2020,NA,May Reopen,2,NA,0,3,1,1.1,1.1,      ,221.4,13354,No,      ,NA,NA,NA,NA,"Small County: Held harmless, did not exceed case number threshold."
Tulare,10/19/2020,10/10/2020,1,1,8/31/2020,No,May Not Reopen,7,0,NA,1,5.1,8.9,9.1,0.98,251.4,484423,NA,6.3,Yes,4,No,0,
Tuolumne,10/19/2020,10/10/2020,3,3,8/31/2020,NA,May Reopen,7,0,0,3,0.8,1.4,1.4,      ,295.5,52351,No,      ,NA,NA,NA,NA,
Ventura,10/19/2020,10/10/2020,2,2,10/5/2020,No,May Reopen,2,0,0,2,2.4,5.1,5.9,0.865,319.9,852747,NA,3.1,Yes,2,No,0,
Yolo,10/19/2020,10/10/2020,2,2,9/28/2020,No,May Reopen,3,0,0,2,2.6,5.3,5.4,0.991,244.6,223612,NA,3.7,Yes,4,No,0,
Yuba,10/19/2020,10/10/2020,2,2,10/5/2020,NA,May Reopen,2,0,0,2,3.3,6.3,6.3,      ,202.7,79290,No,      ,NA,NA,NA,NA,
