County,Date of Tier Assessment,"Updated Tier Assignment, 10-5-20 Assessment","Previous Tier Assignment, 9-28-20 Assessment",First Date in Current Tier,School Opening,Number of Consecutive Weeks Meeting Criteria for Less Restrictive Tier,Number of Consecutive Weeks Meeting Criteria for More Restrictive Tier,"Tier for Week 9-20-20 to 9-26-20, &assessment. Assessment","Test Positivity excl prisons (7-day, 7-day lag)","Adjusted Case Rate Used for Tier Assignment (7-day avg, 7-day lag)","Unadjusted Case Rate per 100,000 excl prison(7-day avg, 7-day lag)",Linear Case Rate Adjustment Factor Applied to Case Rate,"Tests per 100,000 excl prisons, with replaced approved county data (7-day avg 7-day lag)

State Median Testing Rate=216.35","Tests per 100,000 excl prisons, (7-day avg 7-day lag)",Population,"Total New Cases: Additional Small County Criteria Applied to Move to More Restrictive Tier: Exceeds Cases: 2 to 1: <=35K:35, 35-70K:42, 70-106K:49, 3 to 2: <=35K:14, 35-70K:21, 70-106K:28, 4 to 3: <=35K:7, 35-70K:14, 70-106K:21","Test Positivity excl prisons in Lowest Healthy Places Index Quartile Census Tracts (7-day, 7-day lag)","Meets Health Equity Requirement: Lowest HPI Quartile Census Tracts' Test Positivity Threshold for Less Restrictive Tier
(Purple: <=8%, Red: <= 5.2%, Orange: <=2.1%)",Number of Consecutive Weeks Meeting Health Equity Requirement,Meets Accelerated Health Equity Criteria,Number of Consecutive Weeks Meeting Accelerated Health Equity Criteria
Modoc**,10/5/2020,4,4,8/31/2020,May Reopen,NA,0,2,1.8,4.5,4.5,      ,168.9,168.9,9475,3,      ,NA,NA,NA,NA
Mono,10/5/2020,3,3,8/31/2020,May Reopen,0,0,3,3.1,1,1,      ,131,131,13961,1,      ,NA,NA,NA,NA
Monterey,10/5/2020,1,1,8/31/2020,May Not Reopen,0,NA,1,5.4,10,11.2,0.89,276,276,448732,353,7.3,Yes,2,No,0
Napa,10/5/2020,2,2,8/31/2020,May Reopen,0,0,2,2.5,5.1,6.2,0.817,315.5,315.5,139652,61,3.2,Yes,2,No,0
Nevada,10/5/2020,3,3,9/21/2020,May Reopen,0,0,3,0.7,1.3,1.3,      ,272.9,272.9,98710,9,      ,NA,NA,NA,NA
Orange,10/5/2020,2,2,9/7/2020,May Reopen,0,0,2,3.2,5.2,5.4,0.965,235.3,235.3,3228519,1219,6.6,No,0,No,0
Placer,10/5/2020,2,2,9/7/2020,May Reopen,1,0,3,1.9,2.5,2.5,      ,196,196,400434,70,1.7,Yes,2,No,0
Plumas,10/5/2020,4,3,10/5/2020,May Reopen,NA,0,4,0,0,0,      ,182.7,182.7,18997,0,      ,NA,NA,NA,NA
Riverside^,10/5/2020,2,2,9/21/2020,May Reopen,0,1,1,5,7.6,6.8,1.107,158.6,158.6,2468145,1179,7,No,0,No,0
Sacramento,10/5/2020,2,2,9/28/2020,May Not Reopen,0,0,2,3.4,5.3,5.3,0.993,220,220,1567975,583,4.7,Yes,2,No,0
San Benito,10/5/2020,1,1,8/31/2020,May Not Reopen,1,0,2,4.5,6.5,6.5,      ,217.1,217.1,64022,29,      ,NA,NA,NA,NA
San Bernardino,10/5/2020,1,1,8/31/2020,May Not Reopen,0,NA,1,6.4,9.6,9.2,1.049,189.8,189.8,2217398,1426,8.1,No,0,No,0
San Diego,10/5/2020,2,2,8/31/2020,May Reopen,0,0,2,3.5,6.5,7,0.918,260.9,167.6,3370418,1661,6.2,No,0,No,0
San Francisco,10/5/2020,3,3,9/21/2020,May Reopen,0,0,3,1.4,2.6,4.3,0.6,529.9,529.9,892280,269,3,No,0,No,0
San Joaquin,10/5/2020,2,2,9/28/2020,May Not Reopen,0,0,2,4.2,6.4,6.2,1.036,196.8,196.8,782545,337,5.7,No,0,No,0
San Luis Obispo,10/5/2020,2,2,9/21/2020,May Reopen,0,0,2,1.9,5.1,6.6,0.784,332.9,332.9,278862,128,2.4,Yes,2,No,0
San Mateo,10/5/2020,2,2,9/21/2020,May Reopen,0,0,2,2.6,4.3,4.9,0.881,280.8,280.8,778001,268,5.3,No,0,No,0
Santa Barbara,10/5/2020,2,2,9/28/2020,May Not Reopen,0,0,2,3.3,5.8,6.4,0.916,262,262,456373,204,6.7,No,0,No,0
Santa Clara,10/5/2020,2,2,9/7/2020,May Reopen,1,0,3,1.8,3.5,4.8,0.726,364.6,364.6,1967585,657,3.7,Yes,1,No,0
Santa Cruz,10/5/2020,2,2,9/7/2020,May Reopen,0,0,2,3.2,5.9,6.4,0.935,251.7,251.7,273999,122,4.7,Yes,1,No,0
Shasta,10/5/2020,2,3,10/5/2020,May Reopen,0,0,1,6.9,12.8,13.9,0.92,259.4,259.4,177925,173,6.8,No,0,No,0
Sierra,10/5/2020,3,3,9/21/2020,May Reopen,2,0,4,0,0,0,      ,247.6,247.6,3115,0,      ,NA,NA,NA,NA
Siskiyou,10/5/2020,4,3,10/5/2020,May Reopen,NA,0,4,0.5,0,0,      ,122.9,122.9,43956,0,      ,NA,NA,NA,NA
Solano,10/5/2020,2,2,9/21/2020,May Reopen,0,0,2,2.8,5.2,5.6,0.931,253.4,253.4,444255,174,2.9,Yes,2,No,0
Sonoma,10/5/2020,1,1,8/31/2020,May Not Reopen,0,NA,1,5,10.8,12,0.9,270.6,270.6,496668,417,8.1,No,0,No,0
Stanislaus,10/5/2020,1,1,8/31/2020,May Not Reopen,1,0,2,3.5,4.8,4.8,      ,186.2,186.2,562303,189,5.1,Yes,2,No,0
Sutter,10/5/2020,1,1,8/31/2020,May Not Reopen,1,0,3,3.3,3.5,3.5,      ,173.3,173.3,105747,26,      ,NA,NA,NA,NA
Tehama***,10/5/2020,1,2,10/5/2020,May Not Reopen,0,0,1,5.8,11.9,11.9,      ,251.1,251.1,65885,55,      ,NA,NA,NA,NA
Trinity,10/5/2020,4,3,10/5/2020,May Reopen,NA,0,4,0,0,0,      ,133.7,133.7,13354,0,      ,NA,NA,NA,NA
Tulare,10/5/2020,1,1,8/31/2020,May Not Reopen,0,NA,1,6.2,10.7,11.5,0.936,250.8,250.8,484423,389,7.2,Yes,2,No,0
Tuolumne,10/5/2020,3,3,8/31/2020,May Reopen,1,0,4,0.3,0,0,      ,275.1,275.1,52351,0,      ,NA,NA,NA,NA
Ventura,10/5/2020,2,1,10/5/2020,May Not Reopen,0,0,2,3,5.5,6.2,0.896,272.7,272.7,852747,368,3.6,Yes,0,No,0
Yolo,10/5/2020,2,2,9/28/2020,May Not Reopen,1,0,3,2.2,3.3,3.3,      ,204.1,204.1,223612,51,3.3,Yes,2,No,0
Yuba,10/5/2020,2,1,10/5/2020,May Not Reopen,0,0,2,4.2,5.6,5.6,      ,160.5,160.5,79290,31,      ,NA,NA,NA,NA
