County,Date of Tier Assessment,Ending Date of Week of Data: 03-07-21 to 03-13-21,Final Tier Assignment for 03-23-21,"Previous Tier Assignment, 03-15-21 Assessment",First Date in Current Tier,County Tier Assignment Based on Meeting Accelerated Health Equity Criteria,Number of Weeks in Current Tier,Number of Consecutive Weeks Meeting Criteria for Less Restrictive Tier,Number of Consecutive Weeks Meeting Criteria for More Restrictive Tier,"Tier for Week 03-07-21 to 03-13-21, 03-22-21 Assessment","Test Positivity excl prisons (7-day, 7-day lag)","Case Rate Used for Tier Adjusted Using Linear Adjustment (7-day avg, 7-day lag)","Unadjusted Case Rate per 100,000 excl prisons (7-day avg, 7-day lag)",Linear Adjustment Factor Applied to Case Rate,"Tests per 100,000 excl prisons, with replaced approved county data (7-day avg, 7-day lag)

State Median Testing Rate=
317.49",Population^,County Exceeds Minimum Number of Weekly Cases Based on Population and Current Tier,"Health Equity Quartile Test Positivity Excl Prison Cases (7 day, 7 day lag)",HE Quartile (Test Positivity%) Within Threshold for Less Restrictive Tier (Non-Accelerated),Number of Consecutive Weeks of Health Equity Metric Towards Movement to Less Restrictive Tier (Non-Accelerated),Eligible for Accelerated Health Equity Criteria to Move to Less Restrictive Tier (If No Progression Via Non-Accelerated Criteria),Number of Consecutive Weeks Towards Movement to Less Restrictive Tier with Accelerated Healthy Equity Criteria
Glenn,03-22-2021,03-13-2021,1,1,11-16-2020,NA,18,1,0,2,3.9,5.4,5.4,  ,199.6,29348,NA,  ,NA,NA,NA,NA
Humboldt,03-22-2021,03-13-2021,2,2,02-22-2021,No,4,0,0,2,2.3,5.3,5.3,0.997,319.3,134098,NA,1.5,Yes,4,No,0
Imperial,03-22-2021,03-13-2021,2,2,03-08-2021,No,2,1,0,3,1.9,3.0,3.0,  ,300.1,191649,NA,3.6,Yes,2,No,0
Inyo,03-22-2021,03-13-2021,1,1,12-14-2020,NA,14,0,NA,1,4.7,11.6,11.6,  ,380.9,18453,NA,  ,NA,NA,NA,NA
Kern,03-22-2021,03-13-2021,2,1,03-22-2021,No,0,0,0,2,2.8,5.5,5.5,  ,280.8,927251,NA,3.9,Yes,0,No,0
Kings,03-22-2021,03-13-2021,1,1,11-16-2020,No,18,1,0,2,3.4,9.8,12.0,0.823,429.9,156444,NA,4.3,Yes,5,No,0
Lake,03-22-2021,03-13-2021,2,2,03-15-2021,NA,1,0,0,2,4.2,6.6,6.6,  ,255.9,64871,No,  ,NA,NA,NA,NA
Lassen,03-22-2021,03-13-2021,3,2,03-22-2021,NA,0,0,0,4,0.3,0.5,0.5,  ,687.1,30065,No,  ,NA,NA,NA,NA
Los Angeles,03-22-2021,03-13-2021,2,2,03-08-2021,No,2,1,0,3,1.8,3.7,4.8,0.775,460.6,10257557,NA,2.5,Yes,2,No,0
Madera,03-22-2021,03-13-2021,1,1,08-31-2020,No,30,1,0,2,2.7,6.1,6.6,0.917,369.9,160089,NA,5.7,Yes,3,No,0
Marin,03-22-2021,03-13-2021,3,2,03-22-2021,No,0,0,0,3,1.2,2.5,3.6,0.688,515.4,260800,NA,2.1,Yes,0,No,0
Mariposa,03-22-2021,03-13-2021,3,3,03-08-2021,NA,2,0,0,3,1.0,2.4,2.4,  ,316.3,17795,No,  ,NA,NA,NA,NA
Mendocino,03-22-2021,03-13-2021,2,2,03-08-2021,NA,2,0,0,2,2.1,4.4,4.4,  ,268.6,88439,No,  ,NA,NA,NA,NA
Merced,03-22-2021,03-13-2021,1,1,11-16-2020,No,18,0,NA,1,5.0,12.9,14.8,0.875,396.8,287420,NA,3.8,Yes,6,No,0
Modoc,03-22-2021,03-13-2021,2,2,03-01-2021,NA,3,1,0,3,3.1,3.0,3.0,  ,96.5,9475,No,  ,NA,NA,NA,NA
Mono,03-22-2021,03-13-2021,2,2,03-08-2021,NA,2,0,0,2,2.3,9.2,9.2,  ,352.0,13961,No,  ,NA,NA,NA,NA
Monterey,03-22-2021,03-13-2021,2,2,03-15-2021,No,1,1,0,3,1.8,3.8,3.8,  ,267.0,448732,NA,2.7,Yes,1,No,0
Napa,03-22-2021,03-13-2021,2,2,03-01-2021,No,3,1,0,3,0.9,2.8,4.6,0.607,567.1,139652,NA,1.1,Yes,3,No,0
Nevada,03-22-2021,03-13-2021,2,1,03-22-2021,NA,0,0,0,2,3.7,8.0,8.0,  ,298.7,98710,NA,  ,NA,NA,NA,NA
Orange,03-22-2021,03-13-2021,2,2,03-08-2021,No,2,1,0,3,2.1,3.5,3.5,  ,277.5,3228519,NA,3.2,Yes,2,No,0
Placer,03-22-2021,03-13-2021,2,2,03-08-2021,No,2,0,0,2,3.0,8.0,8.0,  ,291.9,400434,NA,4.0,Yes,2,No,0
Plumas*,03-22-2021,03-13-2021,3,3,03-08-2021,NA,2,0,0,2,0.6,5.3,5.3,  ,403.8,18997,No,  ,NA,NA,NA,NA
Riverside,03-22-2021,03-13-2021,2,2,03-15-2021,No,1,0,0,2,2.7,4.8,4.8,  ,271.8,2468145,NA,2.9,Yes,1,No,0
Sacramento,03-22-2021,03-13-2021,2,2,03-15-2021,No,1,0,0,2,2.9,7.4,7.4,0.992,322.6,1567975,NA,4.2,Yes,1,No,0
San Benito,03-22-2021,03-13-2021,2,2,03-08-2021,NA,2,0,0,2,3.0,6.2,6.2,  ,308.4,64022,No,  ,NA,NA,NA,NA
San Bernardino,03-22-2021,03-13-2021,2,2,03-08-2021,No,2,0,0,2,2.3,4.0,4.0,  ,282.7,2217398,NA,2.6,Yes,2,No,0
San Diego,03-22-2021,03-13-2021,2,2,03-15-2021,No,1,0,0,2,2.4,5.5,5.5,  ,298.4,3370418,NA,3.4,Yes,1,No,0
San Francisco,03-22-2021,03-13-2021,3,2,03-22-2021,No,0,0,0,3,0.8,1.7,3.2,0.523,620.3,892280,NA,1.4,Yes,0,No,0
San Joaquin,03-22-2021,03-13-2021,1,1,11-16-2020,No,18,0,NA,1,4.6,11.7,11.6,1.007,312.3,782545,NA,5.4,Yes,4,No,0
San Luis Obispo,03-22-2021,03-13-2021,2,2,03-01-2021,No,3,0,0,2,2.5,7.0,8.1,0.860,406.4,278862,NA,4.2,Yes,3,No,0
San Mateo,03-22-2021,03-13-2021,3,3,03-15-2021,No,1,0,0,3,0.9,2.2,4.4,0.500,770.7,778001,NA,1.8,Yes,1,No,0
Santa Barbara,03-22-2021,03-13-2021,2,2,03-15-2021,No,1,0,0,2,2.2,5.8,6.7,0.867,401.7,456373,NA,4.0,Yes,1,No,0
Santa Clara,03-22-2021,03-13-2021,3,2,03-22-2021,No,0,0,0,3,1.2,2.8,5.6,0.500,648.7,1967585,NA,2.7,Yes,0,No,0
Santa Cruz,03-22-2021,03-13-2021,2,2,03-08-2021,No,2,2,0,3,1.3,3.5,5.4,0.645,542.9,273999,NA,2.8,Yes,2,No,0
Shasta,03-22-2021,03-13-2021,2,2,02-22-2021,Yes,4,0,0,2,1.8,4.5,4.5,0.998,318.7,177925,NA,2.1,Yes,4,No,0
Sierra**,03-22-2021,03-13-2021,4,4,03-15-2021,NA,1,NA,1,2,2.2,4.6,4.6,  ,206.4,3115,No,  ,NA,NA,NA,NA
Siskiyou,03-22-2021,03-13-2021,2,2,03-08-2021,NA,2,0,0,2,5.2,5.2,5.2,  ,149.2,43956,No,  ,NA,NA,NA,NA
Solano,03-22-2021,03-13-2021,2,2,03-08-2021,No,2,0,0,2,2.2,5.6,5.8,0.965,339.6,444255,NA,2.3,Yes,2,No,0
Sonoma,03-22-2021,03-13-2021,2,2,03-08-2021,No,2,0,0,2,2.3,5.6,6.2,0.900,381.2,496668,NA,3.4,Yes,2,No,0
Stanislaus***,03-22-2021,03-13-2021,2,1,11-16-2020,No,18,0,NA,1,5.0,12.2,12.3,0.985,327.2,562303,NA,4.5,Yes,4,No,0
Sutter,03-22-2021,03-13-2021,2,2,03-15-2021,NA,1,0,0,2,3.6,7.2,7.2,  ,229.7,105747,Yes,  ,NA,NA,NA,NA
Tehama,03-22-2021,03-13-2021,2,2,03-15-2021,NA,1,0,0,2,4.3,8.5,8.5,  ,198.8,65885,No,  ,NA,NA,NA,NA
Trinity,03-22-2021,03-13-2021,3,2,03-22-2021,NA,0,0,0,3,4.6,2.1,2.1,  ,69.5,13354,No,  ,NA,NA,NA,NA
Tulare,03-22-2021,03-13-2021,2,2,03-15-2021,No,1,0,0,2,3.0,6.3,6.3,  ,299.5,484423,NA,4.3,Yes,1,No,0
Tuolumne,03-22-2021,03-13-2021,2,2,03-08-2021,NA,2,1,0,3,1.3,1.6,1.6,  ,323.6,52351,No,  ,NA,NA,NA,NA
Ventura,03-22-2021,03-13-2021,2,2,03-15-2021,No,1,0,0,2,2.2,5.0,6.9,0.723,493.2,852747,NA,3.9,Yes,1,No,0
Yolo,03-22-2021,03-13-2021,3,2,03-22-2021,No,0,0,0,3,0.5,2.7,5.5,0.500,1246.2,223612,NA,3.0,Yes,0,No,0
Yuba,03-22-2021,03-13-2021,1,1,11-16-2020,NA,18,1,0,2,4.9,8.8,8.8,  ,225.4,79290,NA,  ,NA,NA,NA,NA
